idMeal,strMeal,strDrinkAlternate,strCategory,strArea,strInstructions,strMealThumb,strTags,strYoutube,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient16,strIngredient17,strIngredient18,strIngredient19,strIngredient20,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure16,strMeasure17,strMeasure18,strMeasure19,strMeasure20,strSource,strImageSource,strCreativeCommonsConfirmed,dateModified,strStorageimg,idCategory
52769,Kapsalon,,Lamb,Dutch,"Cut the meat into strips. Heat oil in a pan and fry the strips for 6 minutes until it's ready.
Bake the fries until golden brown in a deep fryrer. When ready transfer to a backing dish. Make sure the fries are spread over the whole dish.
Cover the fries with a new layer of meat and spread evenly.
Add a layer of cheese over the meat. You can also use grated cheese. When done put in the oven for a few minutes until the cheese is melted.
Chop the lettuce, tomato and cucumber in small pieces and mix together. for a basic salad. As extra you can add olives jalapenos and a red union.
Dived the salad over the dish and Serve with garlicsauce and hot sauce",https://www.themealdb.com/images/media/meals/sxysrt1468240488.jpg,Snack,https://www.youtube.com/watch?v=UIcuiU1kV8I,Fries,Doner Meat,Garlic sauce,Hotsauce,Lettuce,Tomato,Cucumber,Gouda cheese,,,,,,,,,,,,,250 Grams,500 Grams,Topping,Topping,1 Bulb,1,3rd,100 Grams,,,,,,,,,,,,,,,,13/01/2025,52769.png,4
52775,Vegan Lasagna,,Vegan,Italian,"1) Preheat oven to 180 degrees celcius. 
2) Boil vegetables for 5-7 minutes, until soft. Add lentils and bring to a gentle simmer, adding a stock cube if desired. Continue cooking and stirring until the lentils are soft, which should take about 20 minutes. 
3) Blanch spinach leaves for a few minutes in a pan, before removing and setting aside. 
4) Top up the pan with water and cook the lasagne sheets. When cooked, drain and set aside.
5) To make the sauce, melt the butter and add the flour, then gradually add the soya milk along with the mustard and the vinegar. Cook and stir until smooth and then assemble the lasagne as desired in a baking dish. 
6) Bake in the preheated oven for about 25 minutes.",https://www.themealdb.com/images/media/meals/rvxxuy1468312893.jpg,"Vegan,Pasta",https://www.youtube.com/watch?v=VU8cXvlGbvc,green red lentils,carrot,onion,zucchini,coriander,spinach,lasagne sheets,vegan butter,flour,soya milk,mustard,vinegar,,,,,,,,,1 cups,1,1,1 small,sprinking,150g,10,35g,4 tablespoons,300ml,1.5 teaspoons,1 teaspoon,,,,,,,,,,,,27/02/2020,52775.png,11
52781,Irish stew,,Beef,Irish,"Heat the oven to 180C/350F/gas mark 4. Drain and rinse the soaked wheat, put it in a medium pan with lots of water, bring to a boil and simmer for an hour, until cooked. Drain and set aside.

Season the lamb with a teaspoon of salt and some black pepper. Put one tablespoon of oil in a large, deep sauté pan for which you have a lid; place on a medium-high heat. Add some of the lamb – don't overcrowd the pan – and sear for four minutes on all sides. Transfer to a bowl, and repeat with the remaining lamb, adding oil as needed.

Lower the heat to medium and add a tablespoon of oil to the pan. Add the shallots and fry for four minutes, until caramelised. Tip these into the lamb bowl, and repeat with the remaining vegetables until they are all nice and brown, adding more oil as you need it.

Once all the vegetables are seared and removed from the pan, add the wine along with the sugar, herbs, a teaspoon of salt and a good grind of black pepper. Boil on a high heat for about three minutes.

Tip the lamb, vegetables and whole wheat back into the pot, and add the stock. Cover and boil for five minutes, then transfer to the oven for an hour and a half.

Remove the stew from the oven and check the liquid; if there is a lot, remove the lid and boil for a few minutes.",https://www.themealdb.com/images/media/meals/sxxpst1468569714.jpg,"Stew,Meat",https://www.youtube.com/watch?v=kYH2qJXnSMo,whole wheat,lamb loin chops,olive oil,shallots,carrots,turnips,celeriac,charlotte potatoes,white wine,caster sugar,fresh thyme,oregano,chicken stock,,,,,,,,300g soaked overnight in water,2kg cut into 3cm cubes,120ml,24 Skinned,4 large,2,1,350g,150ml,1 tsp,4 sprigs,4 sprigs,450ml,,,,,,,,http://www.ottolenghi.co.uk/recipes/meat/irish-stew-shop,,,31/03/2021,52781.png,1
52803,Beef Wellington,,Beef,British,"Put the mushrooms into a food processor with some seasoning and pulse to a rough paste. Scrape the paste into a pan and cook over a high heat for about 10 mins, tossing frequently, to cook out the moisture from the mushrooms. Spread out on a plate to cool.
Heat in a frying pan and add a little olive oil. Season the beef and sear in the hot pan for 30 secs only on each side. (You don't want to cook it at this stage, just colour it). Remove the beef from the pan and leave to cool, then brush all over with the mustard.
Lay a sheet of cling film on a work surface and arrange the Parma ham slices on it, in slightly overlapping rows. With a palette knife, spread the mushroom paste over the ham, then place the seared beef fillet in the middle. Keeping a tight hold of the cling film from the edge, neatly roll the Parma ham and mushrooms around the beef to form a tight barrel shape. Twist the ends of the cling film to secure. Chill for 15-20 mins to allow the beef to set and keep its shape.
Roll out the puff pastry on a floured surface to a large rectangle, the thickness of a £1 coin. Remove the cling film from the beef, then lay in the centre. Brush the surrounding pastry with egg yolk. Fold the ends over, the wrap the pastry around the beef, cutting off any excess. Turn over, so the seam is underneath, and place on a baking sheet. Brush over all the pastry with egg and chill for about 15 mins to let the pastry rest.
Heat the oven to 200C, 400F, gas 6.
Lightly score the pastry at 1cm intervals and glaze again with beaten egg yolk. Bake for 20 minutes, then lower the oven setting to 180C, 350F, gas 4 and cook for another 15 mins. Allow to rest for 10-15 mins before slicing and serving with the side dishes of your choice. The beef should still be pink in the centre when you serve it.",https://www.themealdb.com/images/media/meals/vvpprx1487325699.jpg,"Meat,Stew",https://www.youtube.com/watch?v=FS8u1RBdf6I,mushrooms,English Mustard,Olive Oil,Beef Fillet,Parma ham,Puff Pastry,Flour,Egg Yolks,,,,,,,,,,,,,400g,1-2tbsp,Dash,750g piece,6-8 slices,500g,Dusting,"2 Beaten ",,,,,,,,,,,,,http://www.goodtoknow.co.uk/recipes/164868/Gordon-Ramsay-s-beef-Wellington,,,28/01/2020,52803.png,1
52805,Lamb Biryani,,Lamb,Indian,"Grind the cashew, poppy seeds and cumin seeds into a smooth paste, using as little water as possible. Set aside. 

Deep fry the sliced onions when it is hot. Don’t overcrowd the oil. When the onions turn light brown, remove from oil and drain on paper towel. The fried onion will crisp up as it drains. Also fry the cashewnuts till golden brown. Set aside.

Wash the rice and soak in water for twenty minutes.
Meanwhile, take a big wide pan, add oil in medium heat, add the sliced onions, add the blended paste, to it add the green chillies, ginger garlic paste and garlic and fry for a minute.
Then add the tomatoes and sauté them well till they are cooked and not mushy.

Then to it add the red chilli powder, biryani powder, mint, coriander leaves and sauté them well.
Add the yogurt and mix well. I always move the skillet away from the heat when adding yogurt which prevents it from curdling.

Now after returning the skillet back to the stove, add the washed lamb and salt and ½ cup water and mix well. Cook for 1 hour and cook it covered in medium low heat or put it in a pressure cooker for 6 whistles. If the water is not drained totally, heat it by keeping it open.

Take another big pan, add thrice the cup of rice you use, and boil it. When it is boiling high, add the rice, salt and jeera and mix well. After 7 minutes exact or when the rice is 80% done. Switch off and drain the rice.

Now, the layering starts. To the lamb, pat and level it. Add the drained hot rice on the top of it. Garnish with fried onions, ghee, mint, coriander leaves and saffron dissolved in milk.

Cover the dish and bake in a 350f oven for 15 minutes or till the cooked but not mushy. Or cook in the stove medium heat for 12 minutes and lowest heat for 5 minutes. And switch off. Mix and serve hot!
Notes
1. If you are cooking in oven, do make sure to cook in a big oven safe pan and cover it tight and then keep in oven for the final step.
2. You can skip biryani masala if you don’t have and add just garam masala (1 tsp and red chilli powder – 3 tsp instead of 1 tsp)
3. If it is spicy in the end, squeeze some lemon, it will reduce the heat and enhance the flavors also.",https://www.themealdb.com/images/media/meals/xrttsx1487339558.jpg,"Curry,Meat",https://www.youtube.com/watch?v=r7SYVSG5nxo,Cashew nuts,Khus khus,Cumin seeds,Onions,Ginger garlic paste,Garlic,Mint,Cilantro,Saffron,Ghee,Basmati rice,Full fat yogurt,Cumin Seeds,Bay leaf,Cinnamon,Cloves,Cardamom,Lamb,Red Chilli powder,Biryani masala,12,½ tbsp,½ tbsp,3 sliced thinly,2 tsp,4 whole,Leaves,Leaves,½ tsp dissolved in ½ cup warm milk,2 tbsp,2 Cups,½ cup,1 tbsp,½,1 thin piece,3,2,1 lb,1 tsp,1 tbsp,http://www.relishthebite.com/restaurant-style-lamb-biryani/,,,07/01/2020,52805.png,4
52812,Beef Brisket Pot Roast,,Beef,American,"1 Prepare the brisket for cooking: On one side of the brisket there should be a layer of fat, which you want. If there are any large chunks of fat, cut them off and discard them. Large pieces of fat will not be able to render out completely.
Using a sharp knife, score the fat in parallel lines, about 3/4-inch apart. Slice through the fat, not the beef. Repeat in the opposite direction to make a cross-hatch pattern.
Salt the brisket well and let it sit at room temperature for 30 minutes.
 
2 Sear the brisket: You'll need an oven-proof, thick-bottomed pot with a cover, or Dutch oven, that is just wide enough to hold the brisket roast with a little room for the onions.
Pat the brisket dry and place it, fatty side down, into the pot and place it on medium high heat. Cook for 5-8 minutes, lightly sizzling, until the fat side is nicely browned. (If the roast seems to be cooking too fast, turn the heat down to medium. You want a steady sizzle, not a raging sear.)
Turn the brisket over and cook for a few minutes more to brown the other side.

3 Sauté the onions and garlic: When the brisket has browned, remove it from the pot and set aside. There should be a couple tablespoons of fat rendered in the pot, if not, add some olive oil.
Add the chopped onions and increase the heat to high. Sprinkle a little salt on the onions. Sauté, stirring often, until the onions are lightly browned, 5-8 minutes. Stir in the garlic and cook 1-2 more minutes.
 
4 Return brisket to pot, add herbs, stock, bring to simmer, cover, cook in oven: Preheat the oven to 300°F. Use kitchen twine to tie together the bay leaves, rosemary and thyme.
Move the onions and garlic to the sides of the pot and nestle the brisket inside. Add the beef stock and the tied-up herbs. Bring the stock to a boil on the stovetop.
Cover the pot, place the pot in the 300°F oven and cook for 3 hours. Carefully flip the brisket every hour so it cooks evenly.
 
5 Add carrots, continue to cook: After 3 hours, add the carrots. Cover the pot and cook for 1 hour more, or until the carrots are cooked through and the brisket is falling-apart tender.
6 Remove brisket to cutting board, tent with foil: When the brisket is falling-apart tender, take the pot out of the oven and remove the brisket to a cutting board. Cover it with foil. Pull out and discard the herbs.
7 Make sauce (optional): At this point you have two options. You can serve as is, or you can make a sauce with the drippings and some of the onions. If you serve as is, skip this step.
To make a sauce, remove the carrots and half of the onions, set aside and cover them with foil. Pour the ingredients that are remaining into the pot into a blender, and purée until smooth. If you want, add 1 tablespoon of mustard to the mix. Put into a small pot and keep warm.
8 Slice the meat across the grain: Notice the lines of the muscle fibers of the roast. This is the ""grain"" of the meat. Slice the meat perpendicular to these lines, or across the grain (cutting this way further tenderizes the meat), in 1/4-inch to 1/2-inch slices.
Serve with the onions, carrots and gravy. Serve with mashed, roasted or boiled potatoes, egg noodles or polenta.",https://www.themealdb.com/images/media/meals/ursuup1487348423.jpg,Meat,https://www.youtube.com/watch?v=gh48wM6bPWQ,Beef Brisket,Salt,Onion,Garlic,Thyme,Rosemary,Bay Leaves,beef stock,Carrots,Mustard,Potatoes,,,,,,,,,,4-5 pound,Dash,3,5 cloves,1 Sprig,"1 sprig ",4,2 cups,3 Large,1 Tbsp,4 Mashed,,,,,,,,,,http://www.simplyrecipes.com/recipes/beef_brisket_pot_roast/,,,21/11/2020,52812.png,1
52826,Braised Beef Chilli,,Beef,Mexican,"Preheat the oven to 120C/225F/gas mark 1.

Take the meat out of the fridge to de-chill. Pulse the onions and garlic in a food processor until finely chopped. Heat 2 tbsp olive oil in a large casserole and sear the meat on all sides until golden.

Set to one side and add another small slug of oil to brown the chorizo. Remove and add the onion and garlic, spices, herbs and chillies then cook until soft in the chorizo oil. Season with salt and pepper and add the vinegar, tomatoes, ketchup and sugar.

Put all the meat back into the pot with 400ml water (or red wine if you prefer), bring up to a simmer and cook, covered, in the low oven.

After 2 hours, check the meat and add the beans. Cook for a further hour and just before serving, pull the meat apart with a pair of forks.",https://www.themealdb.com/images/media/meals/uuqvwu1504629254.jpg,,https://www.youtube.com/watch?v=z4kSoJgsu6Y,Beef,Onions,Garlic,Olive oil,Chorizo,Cumin,All spice,Cloves,Cinnamon stick,Bay Leaves,Oregano,Ancho Chillies,Balsamic Vinegar,Plum Tomatoes,Tomato Ketchup,Dark Brown Sugar,Borlotti Beans,,,,1kg,3,4 cloves,Dash,300g,2 tsp,2 tsp,1 tsp,1 large,3,2 tsp dried,2 ancho,3 tbsp,2 x 400g,2 tbsp,2 tbsp,2 x 400g tins,,,,http://www.telegraph.co.uk/food-and-drink/recipes/braised-beef-chilli-con-carne/,,,26/09/2020,52826.png,1
52873,Beef Dumpling Stew,,Beef,British,"Preheat the oven to 180C/350F/Gas 4.

For the beef stew, heat the oil and butter in an ovenproof casserole and fry the beef until browned on all sides.

Sprinkle over the flour and cook for a further 2-3 minutes.

Add the garlic and all the vegetables and fry for 1-2 minutes.

Stir in the wine, stock and herbs, then add the Worcestershire sauce and balsamic vinegar, to taste. Season with salt and freshly ground black pepper.

Cover with a lid, transfer to the oven and cook for about two hours, or until the meat is tender.

For the dumplings, sift the flour, baking powder and salt into a bowl.
Add the suet and enough water to form a thick dough.

With floured hands, roll spoonfuls of the dough into small balls.

After two hours, remove the lid from the stew and place the balls on top of the stew. Cover, return to the oven and cook for a further 20 minutes, or until the dumplings have swollen and are tender. (If you prefer your dumplings with a golden top, leave the lid off when returning to the oven.)

To serve, place a spoonful of mashed potato onto each of four serving plates and top with the stew and dumplings. Sprinkle with chopped parsley.",https://www.themealdb.com/images/media/meals/uyqrrv1511553350.jpg,"Stew,Baking",https://www.youtube.com/watch?v=6NgheY-r5t0,Olive Oil,Butter,Beef,Plain Flour,Garlic,Onions,Celery,Carrots,Leek,Swede,Red Wine,Beef Stock,Bay Leaf,Thyme,Parsley,Plain Flour,Baking Powder,Suet,Water,,2 tbs,25g,750g,"2 tblsp ",2 cloves minced,175g,150g,150g,2 chopped,200g,150ml,500g,2,3 tbs,3 tblsp chopped,125g,"1 tsp ",60g,Splash,,https://www.bbc.co.uk/food/recipes/beefstewwithdumpling_87333,,,24/04/2020,52873.png,1
52876,Minced Beef Pie,,Beef,British,"Preheat the oven to 200C/400F/Gas 6.
Heat the oil in a deep frying pan and fry the beef mince for 4-5 minutes, breaking it up with a wooden spoon as it browns.
Add the onion and cook for 2-3 minutes, then stir in the tomato purée and cook for 2-3 more minutes. Stir in the flour and cook for a further minute, then add the chopped mushrooms, the stout or beef stock and a couple of dashes of Worcestershire sauce. Bring to the boil, then reduce the heat, cover the pan with a lid and leave to simmer for 20 minutes. Set aside and leave to cool, then turn the meat mixture into a one litre pie dish.
Roll out the pastry on a floured work surface until it is slightly larger than the pie dish. Gently drape the pastry over the dish, pressing firmly onto the edges. Trim, then shape the edges into a fluted shape.
Cut some leaf shapes out of the pastry trimmings and decorate the top of the pie, sticking them to the pastry with the beaten egg yolk.
Make three or four slits in the pastry to allow the steam to escape, then brush the pie with the rest of the beaten egg yolk and bake in the oven for 20-25 minutes, or until golden-brown.
To serve, slice into wedges.",https://www.themealdb.com/images/media/meals/xwutvy1511555540.jpg,"Pie,Meat",https://www.youtube.com/watch?v=QY47h-uqq5g,Vegetable Oil,Minced Beef,Onion,Tomato Puree,Plain Flour,Mushrooms,Beef Stock,Worcestershire Sauce,Shortcrust Pastry,Egg Yolks,,,,,,,,,,,2 tbs,500g,1 chopped,1 tbls,1 ½ tbsp,75g,250ml,Dash,400g,1,,,,,,,,,,,https://www.bbc.co.uk/food/recipes/mincedbeefpie_89198,,,24/08/2020,52876.png,1
52878,Beef and Oyster pie,,Beef,British,"Season the beef cubes with salt and black pepper. Heat a tablespoon of oil in the frying pan and fry the meat over a high heat. Do this in three batches so that you don’t overcrowd the pan, transferring the meat to a large flameproof casserole dish once it is browned all over. Add extra oil if the pan seems dry.
In the same pan, add another tablespoon of oil and cook the shallots for 4-5 minutes, then add the garlic and fry for 30 seconds. Add the bacon and fry until slightly browned. Transfer the onion and bacon mixture to the casserole dish and add the herbs.
Preheat the oven to 180C/350F/Gas 4.
Pour the stout into the frying pan and bring to the boil, stirring to lift any stuck-on browned bits from the bottom of the pan. Pour the stout over the beef in the casserole dish and add the stock. Cover the casserole and place it in the oven for 1½-2 hours, or until the beef is tender and the sauce is reduced.
Skim off any surface fat, taste and add salt and pepper if necessary, then stir in the cornflour paste. Put the casserole dish on the hob – don’t forget that it will be hot – and simmer for 1-2 minutes, stirring, until thickened. Leave to cool.
Increase the oven to 200C/400F/Gas 6. To make the pastry, put the flour and salt in a very large bowl. Grate the butter and stir it into the flour in three batches. Gradually add 325ml/11fl oz cold water – you may not need it all – and stir with a round-bladed knife until the mixture just comes together. Knead the pastry lightly into a ball on a lightly floured surface and set aside 250g/9oz for the pie lid.
Roll the rest of the pastry out until about 2cm/¾in larger than the dish you’re using. Line the dish with the pastry then pile in the filling, tucking the oysters in as well. Brush the edge of the pastry with beaten egg.
Roll the remaining pastry until slightly larger than your dish and gently lift over the filling, pressing the edges firmly to seal, then trim with a sharp knife. Brush with beaten egg to glaze. Put the dish on a baking tray and bake for 25-30 minutes, or until the pastry is golden-brown and the filling is bubbling.",https://www.themealdb.com/images/media/meals/wrssvt1511556563.jpg,Pie,https://www.youtube.com/watch?v=ONX74yP6JnI,Beef,Olive Oil,Shallots,Garlic,Bacon,Thyme,Bay Leaf,Stout,Beef Stock,Corn Flour,Oysters,Plain Flour,Salt,Butter,Eggs,,,,,,900g,3 tbs,3,2 cloves minced,125g,1 tbs chopped,2,330ml,400ml,2 tbs,8,400g,pinch,250g,To Glaze,,,,,,https://www.bbc.co.uk/food/recipes/beef_and_oyster_pie_65230,,,20/09/2023,52878.png,1
